GEO_ID,NAME,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE
id,Geographic Area Name,Percent Male,Percent Female,Percent 5 and under,Percent 5 to 9,Percent 10 to 14,Percent 15 to 19,Percent 20 to 24,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent under 18 years,Percent 65 years and over,Percent White,Percent Black ,Percent American Indian and Alaska Native,Percent Asian,Percent Hispanic/Latino
0500000US05075,"Lawrence County, Arkansas",49.6,50.4,5.7,5.9,6.9,7,6.7,11.4,11.2,12.6,5.9,7.5,10.7,5.9,2.7,22.5,19.3,96.6,1.1,0.3,0.2,1.5
0500000US05077,"Lee County, Arkansas",56.8,43.2,5.1,4.6,5.1,5.3,6.3,14.2,13.9,13,7.5,6,10.7,5.2,3,18.2,18.8,43,55.6,0.4,0.2,2.5
0500000US05079,"Lincoln County, Arkansas",64,36,4.1,3.6,4.9,3.6,7.1,17.7,16.5,15.6,5.6,6.2,9.1,4.2,1.7,15.1,15.1,65.9,30.5,0.5,0,3.9
0500000US05081,"Little River County, Arkansas",48.3,51.7,5.8,5.5,7,4.9,6.3,10.7,12.6,12.8,6.7,7,12.1,7.3,1.3,22.2,20.6,73.9,21.9,1,0.3,1.5
0500000US05083,"Logan County, Arkansas",49.3,50.7,5.8,5.9,5.9,6.2,5.5,11.5,11.5,13.8,7.4,6.7,11.4,6.5,1.9,21.9,19.8,91.8,1.4,0.8,2.2,3
0500000US05085,"Lonoke County, Arkansas",49.2,50.8,6.8,6.2,8.3,6.8,5.4,14.8,13.7,13,6.2,5.7,8,4,1.2,25.9,13.2,88.7,5.7,0.7,0.9,4.5
0500000US05087,"Madison County, Arkansas",49.6,50.4,6.9,5.9,6.3,7.1,4.9,10.9,11,13.9,8.1,6.1,11.4,5.7,1.7,23.5,18.9,93.6,0.3,1.3,1.3,5.7
0500000US05089,"Marion County, Arkansas",48.3,51.7,4.4,5.6,5,4.5,4.1,8.8,9.1,12.1,9,9.3,17,9,2.1,18,28.1,96,0.5,0.9,0.9,2.3
0500000US05091,"Miller County, Arkansas",49,51,6.3,7,6.3,6.5,5.9,13.4,12.3,13.1,6.9,6.1,9.7,5.1,1.6,23.8,16.4,69.8,24.8,1.2,0.4,3.3
0500000US05093,"Mississippi County, Arkansas",48.5,51.5,7.2,6.9,7.6,7.2,6.4,13.2,12,12.1,7.1,5.8,8.5,4.4,1.5,26.3,14.5,60.3,33.7,0.1,0.6,4.1
0500000US05095,"Monroe County, Arkansas",46.9,53.1,6.2,6.3,5.1,5.8,5.2,9.2,10.3,13.1,6.9,9.1,12.7,7.4,2.7,21,22.8,54.6,43,0.3,0.4,0.6
